Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S006736,8,Nou Barris,52,la Prosperitat,701502,B-20 (Besòs),E2,Dilluns,2024,11,Novembre,25,16,Tarda,Abast,431584.894,4588795.144,2.17984974,41.44597323
2024S006737,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,379,Dilluns,2024,11,Novembre,25,17,Tarda,Abast multiple,430991.246,4583556.030,2.17334184,41.39873552
2024S006738,6,Gràcia,31,la Vila de Gràcia,310802,Sant Salvador,,Dilluns,2024,11,Novembre,25,17,Tarda,Atropellament,429526.499,4584621.466,2.15569715,41.40820441
2024S006739,10,Sant Martí,68,el Poblenou,181608,Roc Boronat,,Dilluns,2024,11,Novembre,25,17,Tarda,Col.lisió fronto-lateral,433080.252,4583662.488,2.19831792,41.39987103
2024S006740,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,,Dilluns,2024,11,Novembre,25,17,Tarda,Col.lisió fronto-lateral,431553.841,4583500.417,2.18007765,41.39828275
2024S006741,4,Les Corts,21,Pedralbes,066508,Carles III,127,Dilluns,2024,11,Novembre,25,18,Tarda,Col.lisió lateral,427190.786,4582695.783,2.12798633,41.39065230
2024S006742,10,Sant Martí,68,el Poblenou,346800,Poblenou,,Dimarts,2024,11,Novembre,26,0,Nit,Resta sortides de via,433674.472,4583435.454,2.20545077,41.39787546
2024S006743,6,Gràcia,28,Vallcarca i els Penitents,701502,B-20 (Besòs),E6,Dilluns,2024,11,Novembre,25,23,Nit,Abast,428022.170,4585473.763,2.13759913,41.41574732
2024S006744,2,Eixample,6,la Sagrada Família,142300,Gaudí,51-53,Dilluns,2024,11,Novembre,25,19,Tarda,Xoc contra element estàtic,431074.869,4584632.300,2.17421947,41.40843632
2024S006745,8,Nou Barris,49,Canyelles,700815,Miguel Hernández,27,Dimarts,2024,11,Novembre,26,1,Nit,Caiguda (dues rodes),430390.999,4588528.385,2.16558933,41.44346794
2024S006746,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,,Dimarts,2024,11,Novembre,26,7,Matí,Abast,426177.852,4582125.238,2.11594131,41.38542126
2024S006747,7,Horta-Guinardó,33,el Baix Guinardó,152905,Guinardó,49-51,Dimarts,2024,11,Novembre,26,7,Matí,Abast,430430.934,4585118.987,2.16645990,41.41276424
2024S006748,10,Sant Martí,70,el Besòs i el Maresme,186703,Llull,,Dimarts,2024,11,Novembre,26,9,Matí,Col.lisió lateral,434419.096,4584784.706,2.21421132,41.41008897
2024S006749,2,Eixample,7,la Dreta de l'Eixample,349309,Universitat,,Dimarts,2024,11,Novembre,26,10,Matí,Col.lisió lateral,430577.542,4582299.784,2.16853739,41.38738527
2024S006750,4,Les Corts,19,les Corts,144601,Diagonal,648,Dimarts,2024,10,Octubre,1,16,Tarda,Abast,427626.550,4582662.440,2.13320203,41.39039134
2024S006751,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló,285,Dimarts,2024,11,Novembre,26,11,Matí,Caiguda (dues rodes),430175.609,4583501.335,2.16359189,41.39817244
2024S006752,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",085400,Comerç,15,Dimarts,2024,11,Novembre,26,12,Matí,Col.lisió lateral,431706.075,4582274.467,2.18203691,41.38725391
2024S006753,9,Sant Andreu,59,el Bon Pastor,242509,Palomar,,Dimarts,2024,11,Novembre,26,10,Matí,Col.lisió lateral,432996.942,4588404.961,2.19679564,41.44257815
2024S006754,2,Eixample,8,l'Antiga Esquerra de l'Eixample,223606,Muntaner,84-86,Dimarts,2024,11,Novembre,26,13,Matí,Atropellament,429681.445,4582374.163,2.15781194,41.38797730
2024S006755,9,Sant Andreu,63,Navas,233701,Olesa,,Dimarts,2024,11,Novembre,26,12,Matí,Atropellament,431900.340,4586103.955,2.18392912,41.42176145
2024S006756,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",163504,Isabel II,,Dimarts,2024,11,Novembre,26,15,Tarda,Col.lisió lateral,431713.948,4581617.074,2.18220521,41.38133362
2024S006757,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,143904,General Mitre,93,Dimecres,2024,11,Novembre,27,13,Matí,Abast,427725.906,4583693.716,2.13426716,41.39968857
2024S006758,10,Sant Martí,70,el Besòs i el Maresme,701414,C-31,K2084,Dimarts,2024,11,Novembre,26,19,Tarda,Abast,434007.449,4585877.103,2.20916724,41.41989420
2024S006759,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,,Dimarts,2024,11,Novembre,26,19,Tarda,Col.lisió lateral,430121.355,4582099.833,2.16310473,41.38554485
2024S006760,3,Sants-Montjuïc,17,Sants - Badal,312400,Sants,240,Dimarts,2024,11,Novembre,26,21,Tarda,Caiguda interior vehicle,427237.630,4581029.647,2.12874676,41.37565031
2024S006761,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,409,Dimarts,2024,11,Novembre,26,18,Tarda,Abast,429423.128,4583162.055,2.15463074,41.39505094
2024S006762,10,Sant Martí,64,el Camp de l'Arpa del Clot,161101,Independència,,Dimarts,2024,11,Novembre,26,19,Tarda,Col.lisió lateral,431842.113,4584552.399,2.18340729,41.40778213
2024S006763,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,,Dimarts,2024,11,Novembre,26,17,Tarda,Col.lisió fronto-lateral,430694.576,4582659.979,2.16989582,41.39063954
2024S006764,6,Gràcia,31,la Vila de Gràcia,267000,Riera de Cassoles,2,Dimarts,2024,11,Novembre,26,19,Tarda,Atropellament,429154.671,4583863.259,2.15133769,41.40134281
